48.71;-32.15
33.51;-52
34.36;-71.61
35.99;-86.69
25.79;-140.58
-21.08;-216.34
-65.87;-224.65
-82.27;-227.86
-110.51;-233.44
-122.33;-236.38
-137.14;-240.17
-143.12;-242.37
-162.49;-248.46
-174.14;-252.38
-180.04;-254.29
-204.82;-265.15
-219.49;-270.48
-228.65;-273.76
-235.72;-277.39
-257.53;-288.87
-146.21;-240.75
-168.34;-246.36
-171.99;-247.17
-179.73;-248.93
-212.85;-255.49
-230.37;-257.74
-239.1;-259.26
-251.77;-262.91
-253.82;-263.35
-269.43;-268.8
-179.64;-243.79
-202.21;-246.73
-215.61;-246.64
-226.36;-247.05
-237.5;-248.56
-264.79;-250.08
-273.63;-250.59
-22.46;-235.13
-73.93;-236.99
-81.43;-244.09
-69.82;-255.63
-91.05;-237.23
-97.12;-243.63
-88.62;-241.42
-122.19;-252.46
-130;-256.96
-136.73;-264.2
-128.96;-261.59
-129.72;-243.68
-138.56;-250.97
-152.31;-256.19
-159.56;-258.95
-155.32;-282.99
-178.96;-260.34
-217.48;-278.08
-225.17;-286.57
-253.18;-278.62
-223.25;-252.38
-230.91;-251.45
-236.68;-256.08
-244.37;-255.28
-254.12;-255.58
